Pathways	Species	Taxonomic-Range
CMP phosphorylation	Saccharomyces cerevisiae // Escherichia coli // Homo sapiens // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
di-myo-inositol phosphate biosynthesis	Aeropyrum pernix // Aquifex aeolicus // Archaeoglobus fulgidus // Hyperthermus butylicus // Pyrococcus furiosus // Pyrococcus woesei // Rubrobacter xylanophilus // Thermococcus kodakarensis // Thermotoga maritima	Bacteria <bacteria> // Archaea
3-carene biosynthesis	Salvia stenophylla	Viridiplantae
CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	Fusobacterium nucleatum // Campylobacter jejuni // Escherichia coli // Neisseria meningitidis serogroup B // Acetivibrio thermocellus // Streptococcus agalactiae // [Haemophilus] ducreyi	Bacteria <bacteria>
pyrimidine ribonucleosides salvage I	Escherichia coli // Homo sapiens // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
cyclic 2,3-bisphosphoglycerate biosynthesis	Methanothermus fervidus	Archaea
(4S)-carvone biosynthesis	Carum carvi // Nepeta tenuifolia	asterids
coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)	Methanosarcina barkeri // Methanosarcina mazei // Methanosarcina thermophila	Methanosarcinales
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	Aeropyrum pernix // Aquifex aeolicus // Aquifex aeolicus // Borreliella burgdorferi // Campylobacter jejuni // Campylobacter jejuni // Chlamydia pneumoniae // Chlamydia psittaci // Chlamydia trachomatis // Chlamydia trachomatis // Corynebacterium glutamicum // Corynebacterium glutamicum // Dictyostelium discoideum // Halobacterium salinarum // Helicobacter pylori // Mycobacterium tuberculosis variant bovis // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Pyrobaculum aerophilum // Pyrococcus abyssi // Pyrococcus furiosus // Pyrococcus horikoshii // Rhodobacter capsulatus // Rickettsia prowazekii // Rickettsia prowazekii // Saccharolobus solfataricus // Sulfurisphaera tokodaii // Thermoplasma acidophilum // Thermoplasma volcanium // Thermotoga maritima // Treponema pallidum	Dictyostelium // Viruses // Bacteria <bacteria> // Archaea
<i>N</i>-acetylglutaminylglutamine amide biosynthesis	Sinorhizobium meliloti // Sinorhizobium meliloti	Bacteria <bacteria>
oleoresin monoterpene volatiles biosynthesis	Picea abies // Pinus taeda // Pinus contorta // Abies grandis	Pinidae
coenzyme B/coenzyme M regeneration IV (H<sub>2</sub>-dependent)	Methanothermobacter marburgensis // Methanothermobacter thermautotrophicus	Methanopyri // Methanobacteria // Methanococci // Methanomicrobia
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis IV	Methanocaldococcus jannaschii	Archaea
mannosylglycerate biosynthesis II	Rhodothermus marinus	Bacteria <bacteria>
nerol biosynthesis	Glycine max	Viridiplantae
coenzyme B/coenzyme M regeneration III (coenzyme F<sub>420</sub>-dependent)	Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina mazei // Methanosarcina thermophila	Methanopyri // Methanobacteria // Methanococci // Methanomicrobia
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II	Escherichia coli // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Salmonella enterica	Archaea // Bacteria <bacteria>
mannosylglycerate biosynthesis I	Dehalococcoides mccartyi // Methanothermus fervidus // Petrotoga miotherma // Pyrococcus furiosus // Pyrococcus horikoshii // Rhodothermus marinus // Rubrobacter xylanophilus // Thermococcus celer // Thermococcus litoralis // Thermococcus stetteri // Thermus thermophilus	Archaea // Bacteria <bacteria>
fenchol biosynthesis I	Anethum foeniculum	Viridiplantae
coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)	Methanosarcina acetivorans // Methanosarcina barkeri // Methanosarcina mazei // Methanosarcina thermophila	Methanopyri // Methanobacteria // Methanococci // Methanomicrobia
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	Escherichia coli // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Salmonella enterica	Archaea // Bacteria <bacteria>
fenchone biosynthesis	Anethum foeniculum	Viridiplantae
coenzyme B/coenzyme M regeneration V (formate-dependent)	Methanococcus maripaludis	Methanopyri // Methanobacteria // Methanococci // Methanomicrobia
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	Chlamydia trachomatis // Escherichia coli // Homo sapiens // Pisum sativum // Saccharomyces cerevisiae // Thermotoga maritima // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
2-nitrophenol degradation	Pseudomonas putida	Bacteria <bacteria>
L-isoleucine biosynthesis II	Acetivibrio thermocellus // Synechocystis sp. PCC 6803 // Thermotoga maritima // Bradyrhizobium japonicum // Megalodesulfovibrio gigas // Pelobacter propionicus // Pyrococcus furiosus // Geobacter sulfurreducens // Ignicoccus hospitalis // Leptospira biflexa // Leptospira interrogans // Leptospira interrogans // Leptospira interrogans // Methanobacterium bryantii // Methanobrevibacter arboriphilus // Methanobrevibacter smithii // Methanocaldococcus jannaschii // Methanococcus aeolicus // Methanococcus voltae // Methanosarcina barkeri // Methanothermobacter thermautotrophicus	Euryarchaeota // Bacteria <bacteria> // Thermoprotei
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis	Escherichia coli // Homo sapiens // Pisum sativum // Saccharomyces cerevisiae // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
L-rhamnose degradation II	Aureobasidium pullulans // Burkholderia cenocepacia // Debaryomyces hansenii // Scheffersomyces stipitis // Azotobacter vinelandii	Bacteria <bacteria> // Fungi
L-isoleucine biosynthesis V	Bacteroides fragilis // Clostridium sporogenes // Methanobacterium bryantii // Methanobrevibacter ruminantium // Methanobrevibacter smithii // Methanospirillum hungatei // Prevotella ruminicola	Methanomicrobia // Bacteria <bacteria> // Methanobacteria
L-rhamnose degradation I	Bacillus subtilis // Chloroflexus aurantiacus // Escherichia coli // Rhizobium leguminosarum	Bacteria <bacteria>
superpathway of L-isoleucine biosynthesis I	Bacillus subtilis // Escherichia coli	Fungi // Viridiplantae // Bacteria <bacteria>
nucleoside and nucleotide degradation (archaea)	Archaeoglobus fulgidus // Methanocaldococcus jannaschii // Thermococcus kodakarensis	Archaea
L-rhamnose degradation III	Sphingomonas sp. SKA58	Bacteria <bacteria>
L-isoleucine biosynthesis IV	Chromatium // Clostridium pasteurianum // Clostridium sporogenes // Desulfovibrio desulfuricans // Methanobrevibacter arboriphilus // Methanosarcina barkeri // Methanothermobacter thermautotrophicus	Bacteria <bacteria> // Methanomicrobia // Methanobacteria
purine deoxyribonucleosides salvage	Escherichia coli // Homo sapiens // Arabidopsis thaliana	Metazoa // Viridiplantae // Bacteria <bacteria> // Archaea
superpathway of purine deoxyribonucleosides degradation	Escherichia coli	Bacteria <bacteria>
nitrobenzene degradation II	Comamonas sp. JS765	Bacteria <bacteria>
L-isoleucine biosynthesis I (from threonine)	Cupriavidus necator // Escherichia coli // Salmonella enterica	Eukaryota // Bacteria <bacteria>
xanthine and xanthosine salvage	Escherichia coli	Archaea // Bacteria <bacteria> // Eukaryota
nitrobenzene degradation I	Pseudomonas oleovorans // Comamonas testosteroni // Pseudomonas putida	Bacteria <bacteria>
L-isoleucine biosynthesis III	Escherichia coli // Escherichia coli Crookes	Proteobacteria
superpathway of purine nucleotide salvage	Homo sapiens	Mammalia // Eukaryota
4-chloronitrobenzene degradation	Comamonas testosteroni // Pseudomonas putida	Bacteria <bacteria>
propane degradation II	Mycolicibacterium smegmatis // Mycobacterium goodii strain 12523 // Mycobacterium sp. Py1	Bacteria <bacteria>
purine nucleobases degradation II (anaerobic)	Clostridium // Gottschalkia acidurici // Clostridium cylindrosporum	Firmicutes
L-cysteine degradation III	Bos taurus // Escherichia coli // Homo sapiens // Mammalia // Mus musculus // Rattus norvegicus	Bacteria <bacteria> // Mammalia
propane degradation I	Gordonia sp. TY-5	Bacteria <bacteria>
purine nucleotides degradation II (aerobic)	Bos taurus // Escherichia coli // Gallus gallus // Homo sapiens // Mus musculus // Oryctolagus cuniculus // Rattus norvegicus	Opisthokonta // Archaea // Bacteria <bacteria>
ketogenesis	Homo sapiens	Chordata
L-cysteine degradation II	Escherichia coli // Fusobacterium nucleatum	Bacteria <bacteria> // Eukaryota
coenzyme M biosynthesis I	Xanthobacter autotrophicus // Methanocaldococcus jannaschii // Methanobacterium formicicum // Methanosarcina TM-1	Proteobacteria // Methanopyri // Methanomicrobia // Methanococci // Methanobacteria
plasmalogen biosynthesis I (aerobic)	Homo sapiens	Metazoa
purine ribonucleosides degradation	Escherichia coli // Homo sapiens // Mycoplasma pneumoniae	Archaea // Opisthokonta // Bacteria <bacteria>
L-cysteine degradation I	Rattus norvegicus	Mammalia
methylarsonous acid detoxification II	Pseudomonas putida	Bacteria <bacteria>
coenzyme M biosynthesis II	Methanosarcina acetivorans	Methanomicrobiales // Methanosarcinales
plasmalogen biosynthesis II (anaerobic)	Clostridium perfringens	Bacteria <bacteria>
purine nucleotides degradation I (plants)	Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
malate/L-aspartate shuttle pathway	Homo sapiens // Sus scrofa	Metazoa // Fungi
L-lactaldehyde degradation (aerobic)	Chloroflexus aurantiacus // Bacillus subtilis // Escherichia coli	Archaea // Bacteria <bacteria>
pinitol biosynthesis II	Trifolium incarnatum	Viridiplantae
pseudouridine degradation	Agrobacterium tumefaciens // Escherichia coli // Tetrahymena pyriformis // Thermotoga maritima	Eukaryota // Bacteria <bacteria>
L-lactaldehyde degradation (anaerobic)	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
methylarsonous acid detoxification I	Campylobacter jejuni	Bacteria <bacteria>
CMP-legionaminate biosynthesis II	Legionella pneumophila // Legionella pneumophila	Bacteria <bacteria>
pinitol biosynthesis I	Medicago truncatula // Mesembryanthemum crystallinum	Viridiplantae
purine deoxyribonucleosides degradation II	Homo sapiens	Mammalia
glycerol-3-phosphate shuttle	Saccharomyces cerevisiae // Homo sapiens // Arabidopsis thaliana	Eukaryota
vindoline, vindorosine and vinblastine biosynthesis	Catharanthus roseus	Apocynaceae
CMP-legionaminate biosynthesis I	Campylobacter jejuni // Campylobacter jejuni	Bacteria <bacteria>
phytate degradation I	Avena sativa // Hordeum vulgare // Lupinus luteus // Oryza sativa // Secale cereale // Triticum aestivum // Triticum spelta // Vicia faba	Viridiplantae
purine nucleobases degradation I (anaerobic)	Clostridium // Gottschalkia acidurici // Clostridium cylindrosporum // Gottschalkia purinilytica	Firmicutes
secologanin and strictosidine biosynthesis	Camptotheca acuminata // Catharanthus roseus // Nothapodytes nimmoniana // Ophiorrhiza japonica // Ophiorrhiza pumila // Rauvolfia serpentina	Nothapodytes // Camptotheca // Rubiaceae // Loganiaceae // Apocynaceae
methylarsonous acid detoxification III	Bacillus sp. MD1	Bacteria <bacteria>
indole-3-acetate inactivation IX	Zea mays	Embryophyta
phytate degradation II	Vigna radiata	Viridiplantae
inosine 5'-phosphate degradation	Escherichia coli // Glycine max // Homo sapiens // Mus musculus	Bacteria <bacteria> // Metazoa // Fabaceae
strychnine biosynthesis	Strychnos ignatii // Strychnos nux-vomica	Strychnos
indole-3-acetate inactivation II	Populus tremula x Populus tremuloides	Magnoliopsida
phospholipid remodeling (phosphatidylethanolamine, yeast)	Saccharomyces cerevisiae	Eukaryota
purine deoxyribonucleosides degradation I	Escherichia coli // Mycoplasma pneumoniae	Archaea // Bacteria <bacteria>
ajmaline and sarpagine biosynthesis	Rauvolfia serpentina	Apocynaceae
indole-3-acetate inactivation VIII	Oryza sativa	Embryophyta
phosphatidylethanolamine biosynthesis III	Homo sapiens // Ricinus communis // Glycine max // Arabidopsis thaliana	Eukaryota
guanosine nucleotides degradation I	Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
xylitol degradation I	Aspergillus niger // Aspergillus oryzae // Bos taurus // Cavia porcellus // Morganella morganii // Providencia stuartii // Serratia marcescens // Trichoderma reesei	Vertebrata <vertebrates> // Fungi // Proteobacteria
indole-3-acetate inactivation VII	Citrus sinensis	Embryophyta
phosphatidylethanolamine biosynthesis II	Glycine max // Ricinus communis // Arabidopsis thaliana	Eukaryota
guanosine nucleotides degradation II	Aspergillus terricola // Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Fungi // Embryophyta
xylitol degradation II	Listeria monocytogenes	Firmicutes
indole-3-acetate inactivation I	Zea mays	Magnoliopsida
phenylacetate degradation I (aerobic)	Paraburkholderia caledonica // Aromatoleum evansii // Escherichia coli // Escherichia coli // Pseudomonas sp. Y2 // Pseudomonas putida	Fungi // Bacteria <bacteria>
superpathway of guanosine nucleotides degradation (plants)	Camellia sinensis // Catharanthus roseus // Glycine max // Lupinus luteus // Solanum tuberosum // Arabidopsis thaliana	Embryophyta
peptidoglycan recycling II	Pseudomonas aeruginosa // Pseudomonas putida	Bacteria <bacteria>
indole-3-acetate inactivation IV	Arabidopsis thaliana	Magnoliopsida
phenylacetate degradation II (anaerobic)	Aromatoleum evansii // Thauera aromatica	Bacteria <bacteria>
guanosine nucleotides degradation III	Drosophila melanogaster // Escherichia coli // Homo sapiens // Mus musculus	Bacteria <bacteria> // Metazoa
peptidoglycan recycling I	Escherichia coli	Bacteria <bacteria>
indole-3-acetate inactivation VI	Solanum lycopersicum	Embryophyta
phenol degradation I (aerobic)	Saccharolobus solfataricus // Acinetobacter calcoaceticus // Corynebacterium glutamicum // Cutaneotrichosporon cutaneum // Pseudomonas putida // Pseudomonas sp. CF600 // Ralstonia pickettii // Pseudomonas putida	Archaea // Actinobacteria // Fungi // Proteobacteria
glucosylglycerate biosynthesis II	Persephonella marina	Bacteria <bacteria>
superpathway of indole-3-acetate conjugate biosynthesis	Zea mays // Arabidopsis thaliana	Embryophyta
phenol degradation II (anaerobic)	Thauera aromatica	Proteobacteria
glucosylglycerate biosynthesis I	Dickeya chrysanthemi // Halomonas elongata // Methanococcoides burtonii // Methanohalophilus portucalensis // Persephonella marina // Synechococcus sp. PCC 7002	Bacteria <bacteria> // Archaea
indole-3-acetate inactivation III	Vicia faba	Magnoliopsida
xanthohumol biosynthesis	Humulus lupulus	Cannabaceae
indole-3-acetate inactivation V	Arabidopsis thaliana	Embryophyta
sophoraflavanone G biosynthesis	Sophora flavescens	Sophora
adenosine 5'-phosphoramidate biosynthesis	Auxenochlorella pyrenoidosa // Dictyostelium discoideum // Euglena gracilis // Hordeum vulgare // Spinacia oleracea	cellular organisms
indole-3-acetate inactivation VIII	Arabidopsis thaliana	Viridiplantae
salinosporamide A biosynthesis	Salinispora tropica	Actinobacteria
citreoisocoumarin and bikisocoumarin biosynthesis	Aspergillus nidulans // Fusarium fujikuroi	Fungi
pentaketide chromone biosynthesis	Aloe arborescens	Magnoliopsida
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
spermine biosynthesis	Archaea // Aves // Bacillus subtilis // Bos taurus // Geobacillus stearothermophilus // Homo sapiens // Mammalia // Physarum polycephalum // Pseudomonas aeruginosa // Saccharolobus solfataricus // Saccharomyces cerevisiae // Salmonella enterica // Teleostei // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria> // Archaea
superpathway of adenosylcobalamin salvage from cobinamide II	Halobacterium salinarum // Methanopyrus kandleri // Methanosarcina mazei // Methanothermobacter thermautotrophicus // Cereibacter sphaeroides	Archaea // Bacteria <bacteria>
bassianin and desmethylbassianin biosynthesis	Beauveria bassiana	Fungi
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	Saccharomyces cerevisiae // Escherichia coli // Homo sapiens // Salmonella enterica // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
cadaverine biosynthesis	Anaerovibrio lipolyticus // Escherichia coli // Pseudomonas aeruginosa // Selenomonas ruminantium // Veillonella parvula	Archaea // Bacteria <bacteria>
adenosylcobinamide-GDP salvage from assorted adenosylcobamides	Akkermansia muciniphila	Bacteria <bacteria>
aloesone biosynthesis II	Aloe arborescens	Aloe
superpathway of purine nucleotides <i>de novo</i> biosynthesis II	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
superpathway of polyamine biosynthesis II	Bos taurus // Homo sapiens // Nicotiana tabacum // Pseudomonas aeruginosa // Arabidopsis thaliana	Eukaryota // Bacteria <bacteria>
superpathway of adenosylcobalamin salvage from cobinamide I	Escherichia coli // Salmonella enterica	Proteobacteria
aromatic polyketides biosynthesis	Rubus idaeus	Rubus
superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I	Saccharomyces cerevisiae // Homo sapiens // Escherichia coli // Salmonella enterica // Arabidopsis thaliana	Archaea // Eukaryota // Bacteria <bacteria>
norspermidine biosynthesis	Vibrio vulnificus // Vibrio alginolyticus // Vibrio vulnificus // Vibrio parahaemolyticus // Vibrio alginolyticus // Vibrio cholerae	Vibrionaceae
adenosylcobinamide-GDP salvage from cobinamide II	Halobacterium salinarum // Methanopyrus kandleri // Methanosarcina mazei // Methanothermobacter thermautotrophicus // Cereibacter sphaeroides	Archaea // Bacteria <bacteria>
stipitatate biosynthesis	Talaromyces stipitatus	Fungi
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II	Escherichia coli // Salmonella enterica	Eukaryota // Archaea // Bacteria <bacteria>
branched-chain polyamines biosynthesis	Thermococcus kodakarensis	Archaea // Bacteria <bacteria>
adenosylcobinamide-GDP salvage from cobinamide I	Escherichia coli // Salmonella enterica	Proteobacteria
emodin biosynthesis	Aspergillus terreus	Viridiplantae // Fungi
superpathway of purine nucleotides <i>de novo</i> biosynthesis I	Saccharomyces cerevisiae // Homo sapiens // Arabidopsis thaliana	Archaea // Bacteria <bacteria> // Eukaryota
superpathway of arginine and polyamine biosynthesis	Escherichia coli	Bacteria <bacteria>
methylglyoxal degradation V	Saccharomyces cerevisiae	Fungi
superpathway of demethylmenaquinol-6 biosynthesis I	Haemophilus parainfluenzae	Haemophilus
phenylphenalenone biosynthesis	Musa acuminata // Anigozanthos preissii // Wachendorfia thyrsiflora	Musaceae // Pontederiaceae // Haemodoraceae
aminopropylcadaverine biosynthesis	Escherichia coli	Bacteria <bacteria>
demethylmenaquinol-6 biosynthesis I	Haemophilus parainfluenzae // Micrococcus luteus	Bacteria <bacteria>
aurofusarin biosynthesis	Fusarium graminearum	Fungi
ectoine biosynthesis	Halomonas elongata // Chromohalobacter salexigens	Bacteria <bacteria>
methylglyoxal degradation I	Escherichia coli // Homo sapiens // Pseudomonas putida // Synechococcus sp. RS9916	Metazoa // Bacteria <bacteria>
superpathway of demethylmenaquinol-6 biosynthesis II	Campylobacter jejuni // Helicobacter pylori	Bacteria <bacteria>
tenellin biosynthesis	Beauveria bassiana	Fungi
dZTP biosynthesis	Acinetobacter phage SH-Ab 15497 // Cyanophage S-2L // Salmonella phage PMBT28 // Vibrio phage	Viruses
ureide biosynthesis	Glycine max	Fabaceae
demethylmenaquinol-6 biosynthesis II	Helicobacter pylori // Campylobacter jejuni // Helicobacter pylori	Bacteria <bacteria>
coelimycin P1 biosynthesis	Streptomyces coelicolor	Streptomycetales
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	Escherichia coli // Homo sapiens // Salmonella enterica // Arabidopsis thaliana	Eukaryota // Archaea // Bacteria <bacteria>
serinol biosynthesis	Bradyrhizobium elkanii // Saccharum officinarum	Bacteria <bacteria> // Viridiplantae
methylglyoxal degradation VII	Pseudomonas putida // Rattus norvegicus // Pseudomonas sp. NCIB 8858	Bacteria <bacteria> // Eukaryota
xylan biosynthesis	Phaseolus vulgaris // Pisum sativum // Triticum aestivum	Viridiplantae
aloesone biosynthesis I	Aloe arborescens // Rheum palmatum	Magnoliopsida
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	Escherichia coli // Salmonella enterica	Bacteria <bacteria>
octopamine biosynthesis	Apis mellifera // Caenorhabditis elegans // Drosophila melanogaster // Dugesia japonica // Periplaneta americana	Protostomia // Cephalochordata // Platyhelminthes // Echinodermata
phenylpropanoid biosynthesis	Nicotiana tabacum // Arabidopsis thaliana	Spermatophyta
saliniketal A biosynthesis	Salinispora arenicola	Actinobacteria
trimethylamine <i>N</i>-oxide biosynthesis	Homo sapiens // Methylocella silvestris // Myroides profundi	Archaea // Eukaryota // Bacteria <bacteria>
methylglyoxal degradation II	Rattus norvegicus // Mammalia // Capra hircus	Mammalia
cutin biosynthesis	Glycine max // Oryza sativa // Oryza sativa // Arabidopsis thaliana	Viridiplantae
bryostatin biosynthesis	Candidatus Endobugula sertula	Candidatus Endobugula
creatine biosynthesis	Homo sapiens // Rattus norvegicus	Vertebrata <vertebrates>
cuticular wax biosynthesis	Arabidopsis thaliana	Viridiplantae
plumbagin biosynthesis	Plumbago europaea // Plumbago indica	cellular organisms
trypanothione biosynthesis	Crithidia fasciculata	Kinetoplastea
methylglyoxal degradation VI	Homo sapiens // Rattus norvegicus // Mammalia // Capra hircus	Mammalia
L-valine biosynthesis	Cupriavidus necator // Escherichia coli // Methanococci // Methanococcus // Methanococcus aeolicus // Methanococcus maripaludis // Methanococcus voltae	Archaea // Bacteria <bacteria> // Eukaryota
curcuminoid biosynthesis	Curcuma longa	Curcuma
superpathway of polyamine biosynthesis I	Escherichia coli	Bacteria <bacteria>
L-aspartate biosynthesis	Escherichia coli // Homo sapiens	Archaea // Eukaryota // Bacteria <bacteria>
bikaverin biosynthesis	Fusarium fujikuroi	Fungi
histamine biosynthesis	Staphylococcus capitis // Pediococcus parvulus // Oenococcus oeni // Photobacterium damselae // Tetragenococcus muriaticus // Clostridium perfringens // Lactobacillus sp. 30A // Morganella morganii // Raoultella planticola // Klebsiella aerogenes // Drosophila <flies,genus> // Mus musculus // Homo sapiens // Rattus norvegicus	Metazoa // Bacteria <bacteria>
methylglyoxal degradation III	Cyberlindnera mrakii // Escherichia coli // Homo sapiens // Synechococcus sp. PCC 7002 // Thermoanaerobacterium thermosaccharolyticum	Bacteria <bacteria> // Eukaryota
atranorin biosynthesis	Stereocaulon alpinum	Lecanorineae
superpathway of polyamine biosynthesis III	Vibrio vulnificus // Vibrio alginolyticus // Vibrio vulnificus // Vibrio parahaemolyticus // Vibrio alginolyticus // Vibrio cholerae	Vibrionaceae
peptidoglycan biosynthesis II (staphylococci)	Aerococcus viridans // Arthrobacter citreus // Arthrobacter crystallopoietes // Enterococcus faecalis // Kocuria rosea // Lactococcus lactis // Leuconostoc mesenteroides // Ligilactobacillus salivarius // Micrococcus luteus // Pseudarthrobacter polychromogenes // Sporosarcina pasteurii // Sporosarcina ureae // Staphylococcus aureus // Staphylococcus epidermidis // Staphylococcus haemolyticus // Streptococcus equinus // Streptococcus pasteurianus // Streptococcus thermophilus // Weissella viridescens // Arthrobacter aurescens	Actinobacteria // Firmicutes
flaviolin dimer and mompain biosynthesis	Streptomyces antibioticus // Streptomyces coelicolor // Streptomyces griseus // Streptomyces peucetius	Bacteria <bacteria>
long-chain polyamine biosynthesis	Hyperthermus butylicus	Archaea
peptidoglycan biosynthesis IV (<i>Enterococcus faecium</i>)	Enterococcus faecium // Enterococcus hirae // Lactococcus lactis	Lactobacillales
aspyridone A biosynthesis	Aspergillus nidulans	Aspergillaceae // Fungi
putrescine biosynthesis II	Aeromonas caviae // Campylobacter jejuni // Pseudomonas aeruginosa // Arabidopsis thaliana	Viridiplantae // Firmicutes // Proteobacteria
peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	Bacillus anthracis // Bacillus subtilis // Corynebacterium ammoniagenes // Corynebacterium diphtheriae // Corynebacterium glutamicum // Corynebacterium pseudotuberculosis // Escherichia coli // Geobacillus stearothermophilus // Priestia megaterium // Propionibacterium freudenreichii // Pseudomonas aeruginosa // Rhizobium viscosum // Sinomonas albida	Bacteria <bacteria>
raspberry ketone biosynthesis	Polygonum cuspidatum // Rheum palmatum // Rubus idaeus	Eukaryota
putrescine biosynthesis I	Homo sapiens // Bacillus subtilis // Escherichia coli // Mycolicibacterium phlei // Mycolicibacterium smegmatis	Vertebrata <vertebrates> // Bacteria <bacteria>
peptidoglycan biosynthesis V (&beta;-lactam resistance)	Enterococcus faecium	Actinobacteria // Firmicutes
barbaloin biosynthesis	Hypericum perforatum // Aloe ferox // Aloe arborescens	Magnoliopsida
superpathway of putrescine biosynthesis	Avena sativa // Brassica juncea // Capsicum annuum // Datura stramonium // Dianthus caryophyllus // Glycine max // Malus domestica // Nicotiana tabacum // Oryza sativa // Pisum sativum // Solanum lycopersicum // Theobroma cacao // Arabidopsis thaliana	Viridiplantae
peptidoglycan biosynthesis III (mycobacteria)	Mycobacterium leprae // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Mycolicibacterium smegmatis	Mycobacteriaceae
fusaric acid biosynthesis	Fusarium fujikuroi // Fusarium oxysporum // Fusarium verticillioides	Fungi
putrescine biosynthesis III	Escherichia coli // Homo sapiens // Nicotiana tabacum // Pseudomonas aeruginosa // Saccharomyces cerevisiae // Arabidopsis thaliana	Bacteria <bacteria> // Eukaryota
peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	Escherichia coli	Bacteria <bacteria>
8-<i>O</i>-methylfusarubin biosynthesis	Fusarium fujikuroi // Fusarium solani	Fungi
androstenedione degradation II (anaerobic)	Steroidobacter denitrificans // Sterolibacterium denitrificans	Bacteria <bacteria>
grayanate biosynthesis	Cladonia grayi	Lecanoromycetes
caffeoylglucarate biosynthesis	Nicotiana tabacum // Solanum tuberosum // Solanum lycopersicum	Viridiplantae
androstenedione degradation I (aerobic)	Comamonas testosteroni // Mycobacterium tuberculosis // Mycobacterium tuberculosis // Rhodococcus equi // Rhodococcus hoagii // Rhodococcus jostii // Rhodococcus rhodochrous // Rhodococcus sp. SQ1 // Comamonas testosteroni	Bacteria <bacteria>
oxalate degradation III	Methylorubrum extorquens // Serratia plymuthica // Methylorubrum extorquens // Cupriavidus oxalaticus	Bacteria <bacteria>
benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	Avena strigosa // Arabidopsis thaliana	Magnoliopsida
(5Z)-dodecenoate biosynthesis I	Enterococcus faecalis // Escherichia coli // Streptococcus pneumoniae	Bacteria <bacteria>
oxalate degradation VI	Arabidopsis thaliana // Saccharomyces cerevisiae	Eukaryota // Bacteria <bacteria>
arabidopyrone biosynthesis	Arabidopsis thaliana	Brassicaceae
(5Z)-dodecenoate biosynthesis II	Helicobacter pylori	Bacteria <bacteria>
dTDP-&beta;-L-mycarose biosynthesis	Micromonospora megalomicea // Saccharopolyspora erythraea // Saccharopolyspora erythraea // Streptomyces fradiae	Bacteria <bacteria>
oxalate degradation II	Oxalobacter formigenes	Bacteria <bacteria>
yangonin biosynthesis	Piper methysticum	Piper
L-isoleucine degradation II	Saccharomyces cerevisiae	Fungi
dTDP-sibirosamine biosynthesis	Streptosporangium sibiricum	Actinobacteria
oxalate degradation V	Aspergillus niger // Flammulina velutipes // Bacillus subtilis	Fungi // Bacteria <bacteria>
superpathway of methylsalicylate metabolism	Nicotiana tabacum // Solanum lycopersicum // Solanum tuberosum	Magnoliopsida
L-isoleucine degradation I	Bacillus subtilis // Bos taurus // Clostridium // Homo sapiens // Pseudomonas // Pseudomonas aeruginosa // Pseudomonas putida // Rattus norvegicus // Streptomyces avermitilis // Saccharolobus solfataricus	Eukaryota // Archaea // Bacteria <bacteria>
cyanide detoxification I	Glycine max // Hordeum vulgare // Linum usitatissimum // Lupinus angustifolius // Malus domestica // Nicotiana tabacum // Pisum sativum // Sorghum bicolor // Spinacia oleracea // Arabidopsis thaliana	Embryophyta
dTDP-&beta;-D-fucofuranose biosynthesis	Escherichia coli	Enterobacteriaceae
